word,label,label_Liu,label_SentiWords,label_AFINN,label_WordStat,label_sentiwordnet
abhorred,-2.0,,,-3.0,,
abhorrence,-2.0,,-0.28345,,,
abhorrent,-2.0,,-0.42036,-3.0,,
abhorrently,-2.0,,,,,
abhors,-2.0,,,-3.0,,
abidance,2.0,,0.25049,,,
abide,2.0,,0.10518,,1.0,
abided,,,,,1.0,
abides,,,,,1.0,
abiding,,,0.15579,,1.0,
abient,,,0.067,,,0.25
abilities,1.0,,,2.0,,
ability,1.0,,0.54222,2.0,1.0,0.5
abiotrophy,,,-0.17327,,,-0.25
abject,-2.0,,-0.2937,,-1.0,-0.1875
abjection,,,-0.07997,,,
abjectly,-2.0,,0.17826,,,
abjuration,,,-0.38925,,,
abjure,-1.0,,-0.38925,,-1.0,
abjured,,,,,-1.0,
abjures,,,,,-1.0,
ablate,,,-0.0296,,,-0.0625
ablated,,,-0.07997,,,-0.125
ablative,,,0.082875,,,0.3125
ablaut,,,0.21734,,,0.5
ablaze,,,0.020669999999999997,,,
able,1.0,,0.44415,,1.0,0.125
ableism,,,0.0403,,,
ablepharia,,,0.21734,,,0.5
abler,,,,,1.0,
ablest,,,,,1.0,
ablism,,,0.0403,,,0.125
abloom,,,0.12208,,,
ably,,,0.17826,,,
abnegate,,,0.12545,,,
abnegation,,,0.1067,,,
abnormal,-1.0,-1.0,-0.3184,,-1.0,0.0625
abnormalcy,,,0.15793,,,
abnormalities,,,,,-1.0,
abnormality,,,-0.50054,,-1.0,0.25
abnormally,,,0.12208,,-1.0,0.125
aboard,,,,1.0,,
abocclusion,,,0.12208,,,0.125
abolish,-1.0,-1.0,,,-1.0,
abolishable,,,0.28394,,,0.625
abolished,,,,,-1.0,
abolishes,,,,,-1.0,
abolishing,,,,,-1.0,
abolition,,,,,-1.0,
abolitionary,,,,,-1.0,
abolitionism,,,,,-1.0,
abolitions,,,,,-1.0,
abominable,-2.0,-1.0,-0.25985,,-1.0,
abominably,-2.0,-1.0,-0.42033999999999994,,-1.0,
abominate,-2.0,-1.0,-0.19821,,-1.0,
abominated,,,,,-1.0,
abominates,,,,,-1.0,
abomination,-2.0,-1.0,-0.57547,,-1.0,-0.0625
abominations,,,,,-1.0,
abominator,,,-0.28345,,,
aborbing,1.0,,,,,
abort,,-1.0,-0.239445,,-1.0,-0.4375
aborted,,-1.0,,,-1.0,
abortifacient,,,-0.141725,,,-0.375
aborting,,,,,-1.0,
abortion,,,,,-1.0,
abortions,,,,,-1.0,
abortive,,,-0.19821,,-1.0,
abortively,,,0.15793,,,0.25
aborts,,-1.0,,,-1.0,
aboulic,,,-0.42036,,,
abound,1.0,1.0,-0.0296,,,-0.125
abounding,,,-0.19821,,,
abounds,,1.0,,,,
about,,,0.055854999999999995,,,
above,1.0,,0.008910000000000001,,,-0.0625
aboveboard,,,-0.04354999999999999,,,
abrade,-1.0,-1.0,-0.02298,,,
abrasion,,,0.0056,,-1.0,
abrasions,,,,,-1.0,
abrasive,-2.0,-1.0,-0.09183999999999999,,-1.0,
abrasiveness,,,-0.043039999999999995,,,-0.11200000000000004
abrasives,,,,,-1.0,
abreact,,,-0.39584,,,-0.875
abreaction,,,0.17826,,,
abreast,,,-0.054245,,,
abrogate,,,,,-1.0,
abrogated,,,,,-1.0,
abrogates,,,,,-1.0,
abrogation,,,,,-1.0,
abrupt,-1.0,-1.0,-0.43132,,-1.0,0.125
abruptly,,-1.0,,,-1.0,
abruptness,,,0.06405,,-1.0,
abscessed,,,-0.34088,,,-0.5
abscond,-2.0,-1.0,,,-1.0,
absconded,,,,,-1.0,
absconder,,,0.17826,,,0.375
absconding,,,,,-1.0,
absconds,,,,,-1.0,
absence,-1.0,-1.0,-0.29934,,-1.0,
absences,,,,,-1.0,
absent,,,-0.11535,,-1.0,-0.5
absented,,,,,-1.0,
absentee,-1.0,-1.0,-0.38925,-1.0,-1.0,-0.625
absenteeism,,,0.12208,,,0.125
absentees,,,,-1.0,-1.0,
absenting,,,,,-1.0,
absently,,,0.21734,,,
absentminded,,,0.08478,,-1.0,
absentmindedly,,,0.21734,,-1.0,
absentmindedness,,,0.08478,,,0.25
absents,,,,,-1.0,
absolute,,,0.12934,,,-0.125
absolutely,,,0.21734,,,0.5
absoluteness,,,0.15199000000000001,,,0.375
absolutism,,,-0.15855999999999998,,-1.0,
absolutisms,,,,,-1.0,
absolve,2.0,,-0.06059,2.0,1.0,
absolved,,,0.28394,2.0,1.0,
absolver,,,0.15793,,,0.25
absolves,,,,2.0,1.0,
absolving,,,,2.0,,
absolvitory,,,0.15793,,,
absorb,,,0.15161,,,0.08333333333333333
absorbable,,,0.21734,,,0.5
absorbate,,,0.21734,,,0.5
absorbed,,,0.054329999999999996,1.0,,
absorbefacient,,,0.17826,,,
absorbent,,,,,1.0,
absorbing,1.0,,0.21734,,,
absorption,,,0.04895,,,-0.375
abstain,,,-0.19771,,-1.0,
abstained,,,,,-1.0,
abstaining,,,,,-1.0,
abstains,,,,,-1.0,
abstemious,,,0.12604,,,
abstemiously,,,0.15793,,,
abstemiousness,,,-0.1294,,,-0.1875
abstention,,,0.0403,,,
abstentious,,,-0.38925,,,
abstinence,,,-0.38301,,,0.0625
abstinent,,,-0.194625,,,-0.625
abstract,,,0.020423333333333335,,-1.0,
abstracted,,,0.08478,,-1.0,
abstractedly,,,0.21734,,,
abstracting,,,,,-1.0,
abstraction,,,,,-1.0,
abstractionism,,,-0.09134,,-1.0,
abstractionist,,,,,-1.0,
abstractions,,,,,-1.0,
abstractive,,,0.17826,,,0.375
abstractly,,,,,-1.0,
abstractness,,,-0.01819,,,
abstracts,,,,,-1.0,
abstruse,,,-0.031180000000000003,,,
abstrusely,,,-0.19821,,,-0.25
abstruseness,,,0.09162000000000001,,,
abstrusity,,,0.17826,,,
absurd,-2.0,-1.0,-0.07320499999999999,,-1.0,0.375
absurdist,-1.0,,,,,
absurdities,-1.0,,,,,
absurdity,-2.0,-1.0,-0.23892,,-1.0,
absurdly,-2.0,-1.0,,,-1.0,
absurdness,-2.0,-1.0,,,-1.0,
abulic,,,-0.42036,,,-0.75
abundance,1.0,1.0,,,,
abundant,1.0,1.0,0.6026,,,-0.25
abuse,-1.0,-1.0,-0.86599,-3.0,-1.0,0.5
abused,-1.0,-1.0,-0.17709,-3.0,,0.25
abuser,,,-0.19821,,,
abusers,-1.0,,,,,
abuses,-1.0,-1.0,,-3.0,,
abusive,-2.0,-1.0,-0.78577,-3.0,,-0.875
abusively,,,-0.031180000000000003,,,0.125
aby,,,-0.07997,,,
abye,,,-0.07997,,,
abysmal,-2.0,-1.0,-0.34265,,-1.0,
abysmally,-2.0,-1.0,-0.42036,,-1.0,
abyss,-2.0,-1.0,,,-1.0,
abyssal,,,,,-1.0,
abysses,,,,,-1.0,
academic,1.0,,0.21600500000000003,,,-0.3125
academically,,,0.12208,,,0.125
academician,,,0.08411,,,
academicism,,,-0.07997,,,
academism,,,-0.07997,,,
academy,,,0.03539,,,0.041666666666666664
acanthocephalan,,,-0.19821,,,
acanthocyte,,,-0.07997,,,-0.125
acanthocytosis,,,-0.07997,,,-0.125
acanthoid,,,0.12208,,,
acanthopterygii,,,0.12208,,,
acanthous,,,0.12208,,,
acardia,,,-0.34088,,,-0.5
acarophobia,,,-0.07997,,,-0.125
acarpous,,,-0.28345,,,-0.375
acaryote,,,-0.28345,,,
acatalectic,,,-0.10940000000000001,,,-0.1875
acataphasia,,,-0.34088,,,-0.5
acathexia,,,-0.28345,,,-0.375
acathexis,,,-0.28345,,,-0.375
acaudal,,,-0.19821,,,
acaudate,,,-0.19821,,,-0.25
acaulescent,,,0.15793,,,
accede,2.0,,-0.0033200000000000005,,1.0,
acceded,,,,,1.0,
accedes,,,,,1.0,
accelerative,,,-0.0611,,,
acceleratory,,,-0.0611,,,-0.125
accent,,,0.16562000000000002,,,
accenting,,,0.12208,,,
accentuate,,,,,1.0,
accentuated,,,,,1.0,
accentuates,,,,,1.0,
accentuating,1.0,,,,,
accentuation,,,0.1067,,,
accept,1.0,,0.3428,1.0,,0.1875
acceptability,,,0.067,,,
acceptable,1.0,,0.36908,,1.0,0.5
acceptableness,,,0.067,,,0.25
acceptably,,,0.21734,,,
acceptance,1.0,,0.50316,,,0.08333333333333333
acceptant,,,0.15793,,,
acceptation,,,0.1777,,,0.375
accepted,,,0.21734,1.0,,
accepting,,,0.08478,1.0,1.0,0.25
acceptive,,,0.06992000000000001,,,0.1875
accepts,,,,1.0,,
accessable,,1.0,,,,
accessary,,,0.08913,,,
accessibility,,,0.17537,,1.0,
accessible,1.0,1.0,0.39061,,1.0,0.25
accession,,,0.008884999999999999,,1.0,
accessional,,,0.12208,,1.0,0.125
accessions,,,,,1.0,
accessorial,,,0.17826,,,0.375
accessory,,,0.09367,,,0.1875
accident,-1.0,,-0.60055,-2.0,-1.0,-0.75
accidental,-1.0,-1.0,-0.40807000000000004,-2.0,,-0.125
accidentally,,,0.12774000000000002,-2.0,,
accidents,,,,-2.0,-1.0,
acclaim,2.0,1.0,0.25064000000000003,,1.0,
acclaimed,2.0,1.0,,,1.0,
acclaiming,,,,,1.0,
acclaims,,,,,1.0,
acclamation,2.0,1.0,0.28394,,1.0,
acclamations,,,,,1.0,
acclimate,,,-0.28345,,,
acclimatise,,,-0.28345,,,
acclimatize,,,-0.28345,,,-0.375
accolade,2.0,1.0,0.21734,,1.0,
accolades,2.0,1.0,,,1.0,
accommodate,,,0.28026,,1.0,0.125
accommodated,,,,,1.0,
accommodates,,,,,1.0,
accommodating,,,0.21734,,1.0,0.5
accommodation,,,0.4806,,1.0,-0.075
accommodations,,,,,1.0,
accommodative,1.0,1.0,0.34273000000000003,,1.0,0.5
accomodative,,1.0,,,1.0,
accompaniment,,,,,1.0,
accompaniments,,,,,1.0,
accompany,,,,,1.0,
accomplish,1.0,1.0,0.66303,2.0,1.0,
accomplishable,,,0.15793,,1.0,
accomplished,1.0,1.0,0.28448,2.0,1.0,
accomplishes,1.0,,,2.0,1.0,
accomplishing,,,,,1.0,
accomplishment,1.0,1.0,0.7663800000000001,,1.0,
accomplishments,1.0,1.0,,,1.0,
accord,1.0,,0.304615,,,0.125
accordance,1.0,,-0.08406,,,
accordant,,,0.23008,,,0.5
accordantly,1.0,,,,,
according,,,0.1067,,,0.0625
accordingly,,,0.058660000000000004,,,0.25
accost,-1.0,-1.0,0.1067,,-1.0,
accosted,,,,,-1.0,
accosting,,,,,-1.0,
accosts,,,,,-1.0,
account,,,0.04829,,,0.4583333333333333
accountable,-1.0,,,,1.0,
accouterment,,,-0.28345,,,
accoutrement,,,-0.28345,,,-0.375
accretion,,,0.0808,,,0.025
accretionary,,,-0.28345,,,-0.375
accretive,,,-0.19821,,,-0.25
accrue,,,,,1.0,
accrued,,,,,1.0,
accrues,,,,,1.0,
acculturation,,,0.1619,,,
accumbent,,,-0.07997,,,
accumulation,,,-0.09325,,,-0.25
accumulative,,,0.17964000000000002,,,0.375
accuracy,1.0,,0.33081,,1.0,
accurate,1.0,1.0,0.61745,,1.0,0.5
accurately,1.0,1.0,0.15754,,1.0,0.125
accurateness,,,,,1.0,
accurse,,,-0.0611,,,
accursed,-2.0,-1.0,-0.44531000000000004,,-1.0,
accurst,,,-0.19821,,,
accusation,-2.0,-1.0,-0.35913,-2.0,,
accusations,-2.0,-1.0,,-2.0,,
accusative,,,-0.08351,,,
accusatory,,,-0.34088,,,
accuse,-2.0,-1.0,-0.6281800000000001,-2.0,,
accused,,,,-2.0,,
accuser,,,-0.08901,,,
accuses,-2.0,-1.0,,-2.0,,
accusing,-2.0,-1.0,-0.34088,-2.0,,
accusingly,-2.0,-1.0,0.08478,,,0.25
accusive,,,-0.34088,,,-0.5
accustomed,,,0.2169,,1.0,0.125
ace,1.0,,0.3299266666666667,,1.0,-0.1
aced,,,,,1.0,
acedia,,,-0.01819,,,
acellular,,,-0.34088,,,
acentric,,,-0.29522,,,-0.375
acephalia,,,-0.34088,,,
acephalism,,,-0.34088,,,
acephalous,,,0.0403,,,0.125
acephaly,,,-0.34088,,,-0.5
acerb,,,-0.32244,,-1.0,
acerbate,-2.0,-1.0,-0.18454,,-1.0,-0.125
acerbated,,,,,-1.0,
acerbates,,,,,-1.0,
acerbic,-2.0,-1.0,-0.32244,,-1.0,
acerbically,-2.0,-1.0,,,-1.0,
acerbity,,,-0.37434,,-1.0,-0.375
aces,,,,,1.0,
acetaminophen,,,-0.34088,,,
acetify,,,-0.0296,,,
acetin,,,-0.07997,,,-0.125
acetonemia,,,-0.19821,,,
acetonuria,,,-0.34088,,,
acetose,,,-0.19821,,,
acetous,,,-0.19821,,,
acetum,,,-0.0296,,,-0.125
ache,-2.0,-1.0,-0.427355,-2.0,,
ached,,-1.0,,,,
acheronian,,,-0.07997,,,
acherontic,,,-0.07997,,,
aches,,-1.0,,,,
achey,,-1.0,,,,
achievability,,,0.12208,,,
achievable,1.0,1.0,0.15793,1.0,1.0,
achieve,1.0,,0.72301,,1.0,
achieved,1.0,,,,1.0,
achievement,1.0,1.0,,,1.0,
achievements,1.0,1.0,,,1.0,
achiever,,,0.15793,,,
achieves,,,,,1.0,
achievible,,1.0,,,,
achieving,,,,,1.0,
aching,-1.0,-1.0,-0.29343,-2.0,-1.0,-0.25
achlamydeous,,,-0.38925,,,-0.625
achlorhydria,,,-0.38925,,,-0.625
achlorhydric,,,-0.17327,,,-0.25
acholia,,,-0.28345,,,
achondrite,,,-0.28345,,,-0.375
achondritic,,,-0.12619,,,-0.3125
achondroplasia,,,-0.34088,,,
achondroplastic,,,-0.07997,,,-0.125
achondroplasty,,,-0.34088,,,
achromasia,,,-0.38925,,,
achromatic,,,-0.05621,,,
achromatous,,,-0.28345,,,-0.375
achromia,,,-0.38925,,,-0.625
achy,,,-0.49173999999999995,,,-0.75
achylia,,,-0.02386,,,
acid,,,-0.442815,,,-0.3125
acidemia,,,-0.38925,,,-0.625
acidic,,,-0.1729,,,-0.125
acidification,,,,,-1.0,
acidify,,,-0.0296,,,
acidity,-1.0,,-0.06293,,,
acidophilus,,,-0.07997,,,
acidotic,,,0.08478,,,0.25
acidulate,,,-0.07997,,,
acidulent,,,-0.17327,,,
acidulous,,,-0.17327,,-1.0,-0.25
acidulousness,,,-0.07997,,,-0.125
acknowledge,1.0,,0.36748000000000003,,,0.375
acknowledgeable,,,0.28394,,,0.625
acknowledged,,,0.16965999999999998,,,0.1875
acknowledgement,1.0,,0.39807,,1.0,
acknowledgements,,,,,1.0,
acknowledgment,,,0.01023,,,
acme,,,0.1067,,,
acne,,,-0.71267,,,-0.625
acned,,,-0.28345,,,
acneiform,,,-0.17327,,,-0.25
acnidosporidia,,,0.12208,,,
acold,,,-0.38925,,,-0.625
acolyte,,,-0.28345,,,-0.375
acorea,,,-0.34088,,,-0.5
acoustically,,,0.15793,,,0.25
acoustics,,,0.38844,,,0.125
acquaint,,,0.08411,,1.0,
acquaintance,,,0.15672,,1.0,
acquaintances,,,,,1.0,
acquaintanceship,,,0.21734,,1.0,0.5
acquaintanceships,,,,,1.0,
acquainted,,,0.28394,,1.0,0.625
acquainting,,,,,1.0,
acquaints,,,,,1.0,
acquiesce,,,,,1.0,
acquiesced,,,,,1.0,
acquiescence,,,0.23008,,1.0,0.5
acquiescent,,,0.15793,,,
acquiesces,,,,,1.0,
acquirable,,,0.28394,,,0.625
acquire,,,0.09122999999999999,,1.0,
acquired,,,,,1.0,
acquirement,,,0.15793,,1.0,
acquirements,,,,,1.0,
acquires,,,,,1.0,
acquisition,,,-0.001,,1.0,0.125
acquisitions,,,,,1.0,
acquisitiveness,,,0.15793,,,0.25
acquit,1.0,,0.16232,2.0,1.0,
acquits,,,,2.0,1.0,
acquittal,,,0.24466,,1.0,0.625
acquittals,,,,,1.0,
acquitted,,,-0.06936,2.0,1.0,
acquitting,,,,2.0,1.0,
acrid,-2.0,-1.0,-0.08859,,-1.0,
acridities,,,,,-1.0,
acridity,,,-0.35904,,-1.0,-0.375
acridly,-2.0,-1.0,,,-1.0,
acridness,-2.0,-1.0,-0.29973,,-1.0,-0.375
acrimonious,-2.0,-1.0,0.067,-3.0,-1.0,
acrimoniously,-2.0,-1.0,,,-1.0,
acrimony,-2.0,-1.0,-0.13427,,-1.0,
acritical,,,-0.1874,,,-0.25
acroanaesthesia,,,-0.07997,,,
acroanesthesia,,,-0.07997,,,-0.125
acrobat,,,0.29827,,,0.25
acrobatic,,,0.17826,,,
acrobatics,,,0.10554000000000001,,,
acrocyanosis,,,-0.07997,,,
acromegalia,,,-0.19821,,,
acromegalic,,,-0.28345,,,-0.375
acromegaly,,,-0.19821,,,-0.25
acronymic,,,0.08478,,,
acronymous,,,0.08478,,,0.25
acrophobia,,,0.08478,,,0.25
acrophobic,,,-0.42036,,,-0.75
acrylamide,,,-0.07997,,,-0.125
acrylic,,,0.10805999999999999,,,-0.125
act,,,0.18680000000000002,,,0.075
actable,,,0.28394,,,0.625
acting,,,0.06104,,,0.125
actinomyces,,,-0.07997,,,-0.125
actinomycosis,,,-0.34088,,,-0.5
actinomycotic,,,-0.07997,,,-0.125
actinomyxidia,,,-0.08901,,,
actinomyxidian,,,-0.08901,,,
actinopod,,,0.12208,,,0.125
action,,,0.13872,,,0.1
actionable,,,0.15793,,,0.25
activated,,,-0.0099,,,-0.041666666666666664
activating,,,-0.01193,,,
activation,,,0.30899,,,
active,1.0,,0.365645,1.0,,
actively,,,0.21734,,,0.5
activeness,,,0.1067,,,
activewear,,,-0.19821,,,
activity,,,0.32904,,,0.0625
actual,,,0.30464,,,
actualisation,,,0.21734,,,
actualise,,,0.12208,,,
actualization,,,0.21734,,,
actualize,,,0.12208,,,0.125
actually,,,0.169,,,
acuity,,,0.15754,,,
aculeate,,,0.08478,,,
aculeated,,,0.08478,,,0.25
acumen,2.0,1.0,0.17703,,,
acuminate,,,0.078965,,,0.125
acupuncture,,,-0.079,,,
acute,,,0.0287,,,
acutely,,,0.17293,,1.0,0.1875
acuteness,,,0.04802,,,0.125
acyclic,,,0.10554000000000001,,,0.125
acyclovir,,,-0.34088,,,
acylglycerol,,,-0.01819,,,
adactylia,,,-0.34088,,,
adactylism,,,-0.34088,,,
adactylous,,,-0.07997,,,-0.125
adactyly,,,-0.34088,,,-0.5
adagio,,,0.009290000000000001,,,0.03125
adamance,,,-0.05621,,,
adamant,-2.0,-1.0,0.056835000000000004,,1.0,
adamantine,,,-0.20743000000000003,,1.0,
adamantly,-2.0,-1.0,,,-1.0,
adapt,,,0.22375,,,0.25
adaptability,1.0,,0.15793,,1.0,0.25
adaptable,1.0,1.0,,,1.0,
adaptation,,,,,1.0,
adaptational,,,,,1.0,
adaptations,,,,,1.0,
adaptative,,,0.15793,,,
adaption,,,,,1.0,
adaptive,1.0,1.0,0.15793,,1.0,0.25
adapts,1.0,,,,,
adaxially,,,0.15793,,,0.25
add,1.0,,0.28108500000000003,,,
addable,,,0.21734,,,
addible,,,0.21734,,,0.5
addict,-1.0,-1.0,,,-1.0,
addicted,-1.0,-1.0,,,,
addicting,,-1.0,,,-1.0,
addiction,-1.0,,-0.35368,,-1.0,0.0625
addictions,,,,,-1.0,
addictive,1.0,,-0.42798,,,
addicts,,-1.0,,,-1.0,
adding,1.0,,,,,
additive,,,-0.04567,,,-0.1875
addle,,,-0.28507,,,-0.25
addlebrained,,,0.0403,,,
addled,,,-0.42878,,,-0.75
addlehead,,,-0.19821,,,
addlepated,,,0.0403,,,
address,,,0.14507,,,
addressable,,,0.28394,,,0.625
addressed,,,0.12208,,,0.125
adenitis,,,-0.34088,,,-0.5
adenocarcinoma,,,-0.07997,,,
adenomyosarcoma,,,-0.0611,,,
adenomyosis,,,-0.19821,,,
adenopathy,,,0.12208,,,0.125
adept,1.0,,0.278945,,1.0,
adeptly,1.0,,,,1.0,
adeptness,,,0.21734,,1.0,
adepts,,,,,1.0,
adequacy,,,-0.08457999999999999,,,
adequate,1.0,1.0,-0.08177000000000001,1.0,1.0,
adequately,1.0,,0.15793,,1.0,0.25
adequateness,,,-0.05621,,,-0.125
adermin,,,0.12208,,,
adhd,,,0.25416,,,
adhere,,,0.07182000000000001,,,0.1875
adherence,1.0,,,,,
adherent,1.0,,,,,
adhesion,1.0,,,,,
adhesive,,,0.100475,,,-0.25
adiabatic,,,-0.38925,,,-0.625
aditi,,,-0.05621,,,-0.125
adjectivally,,,0.12208,,,0.125
adjunct,,,-0.08202999999999999,,,-0.20833333333333334
adjuration,,,0.15793,,,0.25
adjure,,,,,-1.0,
adjured,,,,,-1.0,
adjures,,,,,-1.0,
adjust,,,0.14253,,,0.0625
adjustable,,1.0,0.3195,,,0.375
adjusted,,,0.04334,,,
adjustive,,,0.25416,,,0.5
adjustment,,,0.13279000000000002,,,
administrable,,,0.28394,,,0.625
administration,,,-0.13815999999999998,,,
administrative,,,-0.10392,,,0.25
administrator,,,0.053070000000000006,,,-0.375
admirability,,,0.51077,,,
admirable,2.0,1.0,0.53709,,,0.8125
admirableness,,,0.51077,,,
admirably,2.0,1.0,0.21734,,,
admiration,2.0,1.0,0.6985399999999999,,,
admire,2.0,1.0,0.5401100000000001,3.0,,0.625
admired,1.0,,0.5673,3.0,,0.5
admirer,2.0,1.0,,,,
admirers,1.0,,,,,
admires,,,,3.0,,
admiring,2.0,1.0,,3.0,,
admiringly,2.0,1.0,0.48368,,,0.75
admissibility,,,-0.13964000000000001,,,
admissible,,,0.02081,,,-0.375
admission,1.0,,0.19055,,,0.5
admissive,,,0.08478,,,0.25
admit,2.0,,0.15154,-1.0,-1.0,0.041666666666666664
admits,,,,-1.0,,
admittable,,,-0.05621,,,
admitted,,,,-1.0,,
admittedly,2.0,,,,,
admittible,,,-0.05621,,,-0.125
admixture,,,-0.04285,,,
admonish,-2.0,-1.0,0.1619,-2.0,-1.0,
admonished,,,,-2.0,-1.0,
admonisher,-2.0,-1.0,,,-1.0,
admonishers,,,,,-1.0,
admonishes,,,,,-1.0,
admonishing,,,-0.38925,,-1.0,
admonishingly,-2.0,-1.0,,,-1.0,
admonishment,-2.0,-1.0,0.15793,,-1.0,
admonishments,,,,,-1.0,
admonition,-2.0,-1.0,0.08885,,-1.0,
admonitions,,,,,-1.0,
admonitory,,,-0.36424,,,
adobe,,,0.06255,,,0.125
adobo,1.0,,,,,
adolescent,,,0.045025,,,
adonis,,,0.16593,,,0.1875
adopt,,,,1.0,1.0,
adoptable,,,0.36466,,,0.75
adopted,,,0.21734,,1.0,
adopting,,,,,1.0,
adoption,,,,,1.0,
adoptions,,,,,1.0,
adoptive,,,0.1583,,,0.25
adopts,,,,1.0,1.0,
adorability,,,0.15199000000000001,,,
adorable,2.0,1.0,0.60633,3.0,,
adorableness,,,0.15199000000000001,,,0.375
adorably,1.0,,0.15793,,,
adoration,1.0,,0.36057,,,
adore,2.0,1.0,0.54271,3.0,,0.375
adored,2.0,1.0,0.17826,3.0,,
adorer,2.0,1.0,,,,
adores,,,,3.0,,
adoring,2.0,1.0,0.54295,,,
adoringly,2.0,1.0,0.37340999999999996,,,0.625
adorn,,,0.15845,,,
adorned,,,0.17826,,,
adornment,,,0.17964000000000002,,,0.1875
adrenalin,1.0,,0.30245,,,
adrenaline,,,0.3693,,,
adrenalized,1.0,,,,,
adrenergic,,,0.078965,,,
adrenocorticotrophic,,,0.08478,,,
adrenocorticotropic,,,0.08478,,,0.25
adrift,-1.0,,-0.10920999999999999,,-1.0,
adroit,2.0,1.0,0.15793,,1.0,0.25
adroitly,2.0,1.0,0.28394,,1.0,0.625
adroitness,,,0.21734,,,
adsorbable,,,0.15793,,,
adsorbate,,,0.168095,,,0.3125
adulate,2.0,1.0,0.28394,,,0.625
adulation,2.0,1.0,-0.06936,,1.0,-0.125
adulations,,,,,1.0,
adulatory,2.0,1.0,0.15793,,,0.25
adult,,,0.2183,,,-0.125
adulterate,-2.0,-1.0,-0.18170999999999998,,,
adulterated,-2.0,-1.0,-0.07997,,,
adulteration,-2.0,-1.0,,,,
adulterer,,,-0.51451,,,
adulteress,,,-0.07997,,,
adulterier,,-1.0,,,,
adulterine,,,-0.28345,,,-0.375
adulterous,,,-0.39838,,,
adulterously,,,0.12208,,,0.125
adultery,-2.0,,,,,
adumbrate,,,0.1067,,,
adumbration,,,0.013009999999999999,,,
adust,,,-0.08847000000000001,,,
advance,,,0.26996666666666663,,1.0,0.0625
advanced,1.0,1.0,0.28129,1.0,1.0,0.15625
advancement,,,0.6332,,1.0,
advancements,,,,,1.0,
advances,1.0,,,,1.0,
advancing,1.0,,,,1.0,
advantage,1.0,1.0,0.4104,2.0,,0.125
advantageous,2.0,1.0,0.45679,,,0.5
advantageously,,1.0,0.28394,,,
advantageousness,,,0.25416,,,
advantages,1.0,1.0,,2.0,,
advent,,,0.1619,,1.0,
adventitious,,,-0.0611,,,-0.125
adventive,,,-0.42036,,,-0.75
advents,,,,,1.0,
adventure,1.0,,0.58696,2.0,,
adventures,1.0,,,2.0,,
adventuresome,2.0,1.0,0.20073,,,
adventurism,2.0,,0.12208,,,0.125
adventurous,1.0,1.0,0.58309,2.0,,0.375
adventurousness,,,-0.08901,,,
adversarial,-1.0,-1.0,,,,
adversary,-1.0,-1.0,,,,
adversative,,,-0.05621,,,
adverse,-1.0,-1.0,-0.33555999999999997,,,
adversely,,,0.15793,,,0.25
adversity,-2.0,-1.0,-0.20015,,,-0.625
advertence,,,0.12208,,,
advertency,,,0.12208,,,0.125
